Altium Designer Pick and Place Locations
D:\1_AltiumProject\28_BEE_PC_EXP120\SpaceLiin-Satellite-4U-PAY-EXP_HW-1.2.0\01_DESIGN\Project Outputs for BEE-1012 PAY-EXP_V12\Pick Place for BEE_1012 PAY-EXP V12.txt

========================================================================================================================
File Design Information:

Date:       25/06/26
Time:       14:47
Revision:   10a7ad8fe021ec189149d91edf0074ad1ab4de02
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                    
R659       47k                                 TopLayer    RES_C_1608X60                          115.5000     42.6000      0        RES                                                                                                            
J5         0532610671                          BottomLayer MOLEX_0532610671                       16.0000      74.8000      0        ""                                                                                                             
J4         0532610671                          TopLayer    MOLEX_0532610671                       16.0000      74.8000      180      ""                                                                                                             
JP8        DNP/0R                              BottomLayer JUMPER_1-2_1608X60                     25.2000      53.3000      90       ""                                                                                                             
U41        SN65HVD230DR                        TopLayer    SOIC127P600X175-8N                     112.2000     23.7000      0        "3.3 V CAN Transceiver with Standby Mode"                                                                      
U40        SN65HVD230DR                        TopLayer    SOIC127P600X175-8N                     104.3000     23.7000      0        "3.3 V CAN Transceiver with Standby Mode"                                                                      
U39        SN65HVD230DR                        TopLayer    SOIC127P600X175-8N                     95.9000      23.7000      0        "3.3 V CAN Transceiver with Standby Mode"                                                                      
U56        MB85RS2MTAPNF-G-BDERE1              TopLayer    SOIC127P602X173-8N                     140.3000     43.5000      270      "FRAM _Ferroelectric RAM_ Memory IC 2Mb _256K x 8_ SPI 40MHz 8-SOP"                                            
R658       4.7k                                TopLayer    RES_C_1005X40                          137.6500     31.0000      180      RES                                                                                                            
R657       4.7k                                TopLayer    RES_C_1005X40                          132.2000     34.5000      0        RES                                                                                                            
C417       0.1uF/25V                           TopLayer    CAP_C_1608X80                          126.9000     60.4000      90       CAP                                                                                                            
D24        1N5819HW-7-F                        TopLayer    SOD3717X145N                           147.8005     52.4984      0        Zenner                                                                                                         
U27        DNP/AL8843SP-13                     TopLayer    SOIC127P602X173-8N_EPAD                132.2000     62.7000      270      "IC LED DRIVER RGLTR PWM 3A 8SO"                                                                               
R656       10k                                 TopLayer    RES_C_1608X60                          128.3000     64.9000      90       RES                                                                                                            
R655       1k                                  TopLayer    RES_C_1608X60                          128.3000     61.9000      90       RES                                                                                                            
R654       0.05R/1W                            TopLayer    RES_C_3216X70                          138.1000     52.6000      0        RES                                                                                                            
R653       22R                                 TopLayer    RES_C_1005X40                          66.4000      25.0000      90       RES                                                                                                            
L12        DNP/47uH                            TopLayer    IND_MP_1250X1250X850                   141.7000     61.3000      0        B82477P4473M000                                                                                                
J25        0532610271                          BottomLayer MOLEX_5040500291                       43.0000      74.5530      180      ""                                                                                                             
D28        SS54                                TopLayer    DO-214AC_SMA                           133.1000     55.5000      90       "DIODE SCHOTTKY 60V 3A DO214AA"                                                                                
C418       0.1uF/25V                           TopLayer    CAP_C_1608X80                          128.3000     58.9000      270      CAP                                                                                                            
C416       0.1uF/25V                           TopLayer    CAP_C_1608X80                          142.1000     52.6000      270      CAP                                                                                                            
C415       0.1uF/25V                           TopLayer    CAP_C_1608X80                          143.8000     52.6000      270      CAP                                                                                                            
C414       10uF/20V                            TopLayer    CAP_C_2012X110                         130.1002     54.5000      270      "CAP High Value"                                                                                               
TP4        ""                                  TopLayer    Testpoint_TH_D130H80                   2.7000       31.1000      90       "Test Point"                                                                                                   
TP3        ""                                  TopLayer    Testpoint_TH_D130H80                   2.7000       32.7000      90       "Test Point"                                                                                                   
R652       22R                                 TopLayer    RES_C_1005X40                          17.8000      26.2000      270      RES                                                                                                            
R651       22R                                 TopLayer    RES_C_1005X40                          9.0000       26.2000      270      RES                                                                                                            
TP40       ""                                  TopLayer    Testpoint_TH_D130H80                   6.8000       24.2000      90       "Test Point"                                                                                                   
TP39       ""                                  TopLayer    Testpoint_TH_D130H80                   11.8000      25.7000      90       "Test Point"                                                                                                   
TP38       ""                                  TopLayer    Testpoint_TH_D130H80                   7.5000       73.0000      90       "Test Point"                                                                                                   
TP37       ""                                  TopLayer    Testpoint_TH_D130H80                   2.7000       24.2000      90       "Test Point"                                                                                                   
TP36       ""                                  TopLayer    Testpoint_TH_D130H80                   15.8000      24.2000      90       "Test Point"                                                                                                   
TP35       ""                                  TopLayer    Testpoint_TH_D130H80                   2.7000       25.7000      90       "Test Point"                                                                                                   
TP34       ""                                  TopLayer    Testpoint_TH_D130H80                   11.8000      24.2000      90       "Test Point"                                                                                                   
U26        "PAC1934 UQFN-16"                   TopLayer    UQFN-16_4X4_EP2.6X2.6                  15.8000      30.2000      90       ""                                                                                                             
R650       22R                                 TopLayer    RES_C_1005X40                          99.2000      33.9500      270      RES                                                                                                            
R649       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       11.4000      62.5000      270      Shunt                                                                                                          
R648       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       11.4000      44.3000      270      Shunt                                                                                                          
R647       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       20.9000      62.5000      270      Shunt                                                                                                          
R646       KRL1632E-M-R010-F-T5                TopLayer    RES_C_1206_SHUNT                       6.1000       34.8000      180      Shunt                                                                                                          
R645       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       21.0000      44.2788      270      Shunt                                                                                                          
R644       KRL1632E-M-R010-F-T5                TopLayer    RES_C_1206_SHUNT                       15.5000      34.8000      180      Shunt                                                                                                          
R643       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       21.0000      53.4000      270      Shunt                                                                                                          
R642       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       11.4000      53.4000      270      Shunt                                                                                                          
R641       0R                                  TopLayer    RES_C_1005X40                          18.7000      26.2000      270      RES                                                                                                            
R640       10k                                 TopLayer    RES_C_1005X40                          9.9000       26.2000      270      RES                                                                                                            
C413       0.1uF/10V                           TopLayer    CAP_C_1005X60                          15.4000      26.2000      270      CAP                                                                                                            
C412       0.1uF/10V                           TopLayer    CAP_C_1005X60                          11.8000      28.8000      180      CAP                                                                                                            
C411       0.1uF/10V                           TopLayer    CAP_C_1005X60                          6.7000       26.2000      270      CAP                                                                                                            
C410       0.1uF/10V                           TopLayer    CAP_C_1005X60                          3.0000       29.7100      180      CAP                                                                                                            
C409       4.7uF/10V                           TopLayer    CAP_C_1005X60                          14.5000      26.2000      270      CAP                                                                                                            
C408       4.7uF/10V                           TopLayer    CAP_C_1005X60                          11.8000      29.7000      180      CAP                                                                                                            
C402       4.7uF/10V                           TopLayer    CAP_C_1005X60                          5.8000       26.2000      270      CAP                                                                                                            
U71        SN3257QPWRQ1                        TopLayer    SOIC_PRQ1_TEX                          108.2000     43.9000      0        "Automotive 5-V, 2:1 (SPDT), 4-channel switch with 1.8-V logic and powered-off protection 16-TSSOP -40 to 125" 
R639       4.7k                                BottomLayer RES_C_1005X40                          37.4601      62.8000      180      RES                                                                                                            
R638       4.7k                                BottomLayer RES_C_1005X40                          28.4552      62.9000      180      RES                                                                                                            
C407       0.1uF/10V                           BottomLayer CAP_C_1005X60                          61.0000      15.6000      90       "CAP CHIP"                                                                                                     
C406       0.1uF/10V                           BottomLayer CAP_C_1005X60                          96.4000      15.6000      90       "CAP CHIP"                                                                                                     
C405       0.1uF/10V                           BottomLayer CAP_C_1005X60                          108.2000     15.6000      90       "CAP CHIP"                                                                                                     
C404       0.1uF/10V                           BottomLayer CAP_C_1005X60                          72.8000      15.6000      90       "CAP CHIP"                                                                                                     
C403       0.1uF/10V                           BottomLayer CAP_C_1005X60                          84.6000      15.6000      90       "CAP CHIP"                                                                                                     
R637       10k                                 TopLayer    RES_C_1005X40                          55.9000      63.3000      270      RES                                                                                                            
R60        DNP/4.7k                            BottomLayer RES_C_1005X40                          64.7000      22.3000      90       RES                                                                                                            
R38        DNP/4.7k                            BottomLayer RES_C_1005X40                          54.1000      26.7000      90       RES                                                                                                            
JP7        DNP/0R                              TopLayer    JUMPER_1608                            70.5000      50.7935      270      ""                                                                                                             
FB2        BLM18PG121SN1D                      BottomLayer IND_C_1608X60                          41.7000      69.9000      0        ""                                                                                                             
FB1        BLM18PG121SN1D                      BottomLayer IND_C_1608X60                          32.7000      69.9000      0        ""                                                                                                             
C401       0.1uF/10V                           TopLayer    CAP_C_1005X60                          40.9400      70.6500      270      "CAP CHIP"                                                                                                     
C400       0.1uF/10V                           TopLayer    CAP_C_1005X60                          41.8400      70.6500      270      "CAP CHIP"                                                                                                     
